client_id,account_id,account_name,timezone,currency,is_active,has_auction_insights,has_ga4,notes
external,2696190839,Агри Гейт Медия ООД,Europe/Sofia,EUR,false,false,false,
idconsult,5168566988,*Europa EUR,Europe/Sofia,EUR,true,false,false,
idconsult,4866322944,[EUR] Sleepy.bg,Europe/Sofia,EUR,true,false,false,
idconsult,4225655970,Abrites,Europe/Sofia,EUR,true,false,false,
idconsult,5216994417,Adapt BG EUR,Europe/Sofia,EUR,true,false,false,
idconsult,4450767011,Adapt RO Eur,Europe/Sofia,EUR,true,false,false,
idconsult,8283227085,Aerosus,Europe/Berlin,EUR,true,false,false,
idconsult,4450825619,Aerosus - USA,America/Chicago,EUR,true,false,false,
idconsult,6301999348,Badinka.com_f,Europe/Sofia,BGN,false,false,false,Inactive — last data 2025-09
idconsult,4532197439,Balkan eCommerce Summit,Europe/Sofia,EUR,true,false,false,
idconsult,6707195129,Balkan eCommerce Summit,Europe/Sofia,BGN,false,false,false,
idconsult,9508783605,Balkan eCommerce-- 950-878-3605,Europe/Sofia,BGN,false,false,false,Inactive — last data 2023-12
idconsult,8394432568,Boulevard BG,Europe/Sofia,BGN,false,false,false,Inactive — last data 2025-09
idconsult,9261121747,BoulevardBG,Europe/Sofia,EUR,true,false,false,
idconsult,1742576972,Bravite.com,Europe/Sofia,EUR,false,false,false,Inactive — last data 2025-08
idconsult,4251401862,COCOSOLIS RO,Europe/Sofia,EUR,true,false,false,
idconsult,6616950693,Dali Vino,Europe/Sofia,BGN,false,false,false,Inactive — last data 2025-09
idconsult,8844926586,DaliVino EURO,Europe/Sofia,EUR,true,false,false,
idconsult,9900722644,DAVID,Europe/Sofia,BGN,false,false,false,Inactive — last data 2023-12
idconsult,8371360580,Derma-Act EU,Europe/Sofia,EUR,true,false,false,
idconsult,9618533366,Derma-Act Greece (New),Europe/Sofia,EUR,false,false,false,
idconsult,1290364539,Dermal Lase - EUR,Europe/Sofia,EUR,true,false,false,
idconsult,1322244819,Dermallase.com,Europe/Sofia,BGN,false,false,false,Inactive — last data 2025-09
idconsult,2520459846,Dr. Kadurina,Europe/Sofia,EUR,false,false,false,
idconsult,1403928956,GIROTTI - France,Europe/Paris,EUR,true,false,false,
idconsult,6274837895,GIROTTI - Germany,Europe/Berlin,EUR,true,false,false,
idconsult,7098886294,GIROTTI International,America/New_York,USD,true,false,false,
idconsult,5003762119,GIROTTI UK,Europe/London,GBP,true,false,false,
idconsult,9063936603,Gong,Europe/Sofia,BGN,false,false,false,Inactive — last data 2022-12
